	departement	code insee dep
0	Pyrenees-Atlantiques	640
1	Dordogne	240
2	Cantal	150
3	Aude	110
4	Meurthe-Et-Moselle	540
5	Vosges	880
6	Hautes-Pyrenees	650
7	Calvados	140
8	Gironde	330
9	Ardeche	70
10	Cote-D'Or	210
11	Pas-De-Calais	620
12	Ille-Et-Vilaine	350
14	Nord	590
15	Bouches-Du-Rhone	130
16	Aisne	20
17	Haut-Rhin	680
20	Gers	320
21	Haute-Saone	700
22	Bas-Rhin	670
25	Nievre	580
26	Gard	300
28	Loire	420
29	Lozere	480
30	Lot-Et-Garonne	470
34	Loire-Atlantique	440
36	Morbihan	560
37	Maine-Et-Loire	490
42	Moselle	570
43	Doubs	250
44	Cotes-D'Armor	220
45	Vienne	860
46	Puy-De-Dome	630
47	Loir-Et-Cher	410
48	Yonne	890
50	Charente-Maritime	170
51	Manche	500
52	Jura	390
53	Orne	610
54	Isere	380
55	Aveyron	120
56	Cher	180
57	Seine-Maritime	760
59	Lot	460
60	Deux-Sevres	790
62	Indre	360
64	Mayenne	530
69	Tarn	810
70	Ariege	90
73	Haute-Corse	202
77	Haute-Marne	520
81	Pyrenees-Orientales	660
88	Vendee	850
90	Herault	340
91	Hautes-Alpes	50
93	Vaucluse	840
94	Var	830
96	Allier	30
102	Somme	800
140	Mayotte	970
141	Reunion	970
145	Meuse	550
147	Ardennes	80
197	Saone-Et-Loire	710
200	Aube	100
201	Marne	510
204	Seine-Et-Marne	770
229	Paris	750
231	Seine-Saint-Denis	930
235	Val-De-Marne	940
237	Val-D'Oise	950
238	Oise	600
270	Landes	400
273	Finistere	290
280	Haute-Savoie	740
282	Alpes-De-Haute-Provence	40
363	Alpes-Maritimes	60
367	Ain	10
376	Rhone	690
384	Haute-Garonne	310
394	Corse-Du-Sud	201
451	Savoie	730
505	Eure	270
522	Yvelines	780
526	Eure-Et-Loir	280
582	Indre-Et-Loire	370
601	Loiret	450
628	Essonne	910
666	Charente	160
685	Territoire De Belfort	900
703	Sarthe	720
713	Drome	260
732	Creuse	230
1154	Correze	190
1264	Guyane	970
1653	Tarn-Et-Garonne	820
1688	Martinique	970
1824	Hauts-De-Seine	920
1912	Haute-Loire	430
2113	Guadeloupe	970
2491	Haute-Vienne	870
